Source,Target,Weight
A2AP51,O35674,1.0
A2AP51,Q05910,1.0
A2AP51,Q61072,1.0
A2AP51,Q61824,1.0
A2AP51,Q9JI76,1.0
A2AP51,Q9JLN6,1.0
A2AP51,Q923W9,1.0
A2APR8,O08901,1.0
A0A0R4J1Q7,P06802,1.0
A0A0R4J1Q7,Q9R1E6,1.0
A0A140LHU0,O35674,1.0
A0A140LHU0,Q05910,1.0
A0A140LHU0,Q61072,1.0
A0A140LHU0,Q61824,1.0
A0A140LHU0,Q9JI76,1.0
A0A140LHU0,Q9JLN6,1.0
A0A140LHU0,Q923W9,1.0
A2AQA7,Q8CFQ3,1.0
A2AQH3,O88904,1.0
A2AQH3,Q3V016,1.0
A2AQH3,Q9ERH7,1.0
A2AQH3,Q9QZR5,1.0
A0A1Y7VMP7,P54279,1.0
A2AQX6,O09110,1.0
A2AQX6,O54863,1.0
A2AQX6,O55047,1.0
A2AQX6,P08414,1.0
A2AQX6,P47809,1.0
A2AQX6,P70236,1.0
A2AQX6,Q3UIZ8,1.0
A2AQX6,Q61241,1.0
A2AQX6,Q641K5,1.0
A2AQX6,Q8BW96,1.0
A2AQX6,Q8BZN4,1.0
A2AQX6,Q8C078,1.0
A2AQX6,Q8C0V0,1.0
A2AQX6,Q8VBY2,1.0
A2AQX6,Q8VDF3,1.0
A2AQX6,Q91VB2,1.0
A2AQX6,Q91YA2,1.0
A2AQX6,Q91YS8,1.0
A2AQX6,Q924X7,1.0
A2AQX6,Q99MQ3,0.7142857142857143
A2AQX6,Q9R0A5,1.0
A2AQX6,Q9Z0H0,1.0
A2AQX6,P0C5K0,1.0
A2AQX6,Q543Z5,1.0
A2AQX6,Q5SWN9,1.0
A2AQX6,Q8BGW6,1.0
A2AQX6,A2AGS2,1.0
A2AQX6,A2AM78,0.7142857142857143
A2AQX6,P0C5K1,1.0
A2AQX6,Q3U258,0.7142857142857143
A2AQX6,Q3UU57,1.0
A2AQX6,Q543X6,1.0
A2AQX6,Q5DU52,0.7142857142857143
A2AQX6,Q5SUV5,1.0
A2AQX6,Q6IS31,0.7142857142857143
A2AQX6,Q8BP44,1.0
A2AQX6,Q8C0X8,1.0
A2AQX6,Q8QZV4,1.0
A2AQX6,Q9JJX8,1.0
A2AQX6,A0AA95Z2J0,1.0
A2AQX6,D3YV51,1.0
A2AQX6,Q3TJG7,1.0
A2AQX6,Q3TLX7,1.0
A2AQX6,Q3TN15,1.0
A2AQX6,Q3TX82,1.0
A2AQX6,Q3UDI2,1.0
A2AQX6,Q66JY4,1.0
A2AQX6,Q8C371,1.0
A2AQX6,Q8C5F7,1.0
A2AQX6,Q9D9B2,1.0
A2AQX6,S4R1E6,1.0
A2AQY8,Q71RI9,1.0
A2AQY8,Q8BTY1,1.0
A2AQY8,A0A0G2JGE1,1.0
A2AQY9,Q71RI9,1.0
